"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R118","0603R","3600mil","2875mil","3600mil","2875mil","3572.5mil","2875mil","T","180.00","[N/A]"
"R119","0603R","3450mil","3075mil","3450mil","3075mil","3477.5mil","3075mil","T","360.00","[N/A]"
"R120","0603R","3600mil","3075mil","3600mil","3075mil","3572.5mil","3075mil","T","180.00","[N/A]"
"R121","0603R","3600mil","3375mil","3600mil","3375mil","3627.5mil","3375mil","T","360.00","10K"
"R122","0603R","3600mil","3175mil","3600mil","3175mil","3627.5mil","3175mil","T","360.00","10K"
"R123","0603R","3600mil","3275mil","3600mil","3275mil","3627.5mil","3275mil","T","360.00","10K"
"R124","0603R","3450mil","3275mil","3450mil","3275mil","3422.5mil","3275mil","T","180.00","10K"
"R125","0603R","3450mil","3375mil","3450mil","3375mil","3422.5mil","3375mil","T","180.00","10K"
"R126","0603R","3450mil","2875mil","3450mil","2875mil","3422.5mil","2875mil","T","180.00","10K"
"R127","0603R","3600mil","2775mil","3600mil","2775mil","3627.5mil","2775mil","T","360.00","10K"
"R128","0603R","3450mil","2775mil","3450mil","2775mil","3477.5mil","2775mil","T","0.00","10K"
"R129","0603R","3450mil","2975mil","3450mil","2975mil","3477.5mil","2975mil","T","360.00","0"
"R13","0603R","4100mil","6350mil","4100mil","6350mil","4127.5mil","6350mil","T","360.00","240"
"R130","0603R","3600mil","2975mil","3600mil","2975mil","3572.5mil","2975mil","T","180.00","0"
"R131","0603R","2750mil","2950mil","2750mil","2950mil","2750mil","2922.5mil","T","270.00","0"
"R132","0603R","2675mil","2950mil","2675mil","2950mil","2675mil","2922.5mil","T","270.00","0"
"R133","0603R","2300mil","1475mil","2300mil","1475mil","2300mil","1502.5mil","T","90.00","4K7"
"R134","0603R","2225mil","1475mil","2225mil","1475mil","2225mil","1502.5mil","T","90.00","4K7"
"R135","0603R","750mil","1475mil","750mil","1475mil","777.5mil","1475mil","T","360.00","0"
"R136","0603R","750mil","1775mil","750mil","1775mil","722.5mil","1775mil","T","180.00","0"
"R137","0603R","751.159mil","1370mil","751.159mil","1370mil","778.659mil","1370mil","T","360.00","0"
"R138","0603R","750mil","1675mil","750mil","1675mil","722.5mil","1675mil","T","180.00","4K7"
"R139","0603R","2925mil","5025mil","2925mil","5025mil","2952.5mil","5025mil","T","360.00","0"
"R14","0603R","4325mil","6350mil","4325mil","6350mil","4352.5mil","6350mil","T","360.00","240"
"R140","0603R","2650mil","6175mil","2650mil","6175mil","2650mil","6202.5mil","T","90.00","0"
"R141","0603R","3225mil","4625mil","3225mil","4625mil","3197.5mil","4625mil","T","180.00","0"
"R142","0603R","3225mil","4325mil","3225mil","4325mil","3252.5mil","4325mil","T","360.00","0"
"R143","0603R","2550mil","6175mil","2550mil","6175mil","2550mil","6147.5mil","T","270.00","0"
"R144","0603R","2450mil","6175mil","2450mil","6175mil","2450mil","6147.5mil","T","270.00","0"
"R145","0603R","3075mil","4425mil","3075mil","4425mil","3102.5mil","4425mil","T","360.00","100K"
"R146","0603R","3275mil","6175mil","3275mil","6175mil","3275mil","6202.5mil","T","90.00","3K3"
"R147","0603R","2375mil","4100mil","2375mil","4100mil","2375mil","4072.5mil","T","270.00","0"
"R148","0603R","1075mil","2975mil","1075mil","2975mil","1075mil","2947.5mil","T","270.00","1K5"
"R149","0603R","3225mil","4525mil","3225mil","4525mil","3252.5mil","4525mil","T","360.00","4K7"
"R150","0603R","2825mil","2950mil","2825mil","2950mil","2825mil","2922.5mil","T","270.00","10K(1%)"
"R151","0603R","2950mil","1550mil","2950mil","1550mil","2977.5mil","1550mil","T","360.00","20K(1%)"
"R152","0603R","2050mil","2775mil","2050mil","2775mil","2050mil","2802.5mil","T","90.00","10K"
"R153","0603R","2150mil","2775mil","2150mil","2775mil","2150mil","2747.5mil","T","270.00","30K"
"R154","0603R","2900mil","2950mil","2900mil","2950mil","2900mil","2977.5mil","T","90.00","0"
"R155","0603R","2475mil","4100mil","2475mil","4100mil","2475mil","4127.5mil","T","90.00","47"
"R156","0603R","3000mil","4025mil","3000mil","4025mil","3000mil","4052.5mil","T","90.00","1(1%)"
"R157","0603R","3000mil","4200mil","3000mil","4200mil","3000mil","4227.5mil","T","90.00","1K(1%)"
"R158","0603R","2250mil","2775mil","2250mil","2775mil","2250mil","2747.5mil","T","270.00","15K"
"R159","0603R","2975mil","2950mil","2975mil","2950mil","2975mil","2977.5mil","T","90.00","0"
"R160","0603R","2925mil","1275mil","2925mil","1275mil","2925mil","1302.5mil","T","90.00","10K"
"R161","0603R","1975mil","4100mil","1975mil","4100mil","1975mil","4072.5mil","T","270.00","0"
"R162","0603R","2700mil","5800mil","2700mil","5800mil","2700mil","5827.5mil","T","90.00","0"
"R163","0603R","3100mil","1550mil","3100mil","1550mil","3127.5mil","1550mil","T","360.00","0"
"R164","0603R","2775mil","1450mil","2775mil","1450mil","2747.5mil","1450mil","T","180.00","10K"
"R165","0603R","2275mil","4100mil","2275mil","4100mil","2275mil","4127.5mil","T","90.00","0"
"R166","0603R","1700mil","2950mil","1700mil","2950mil","1700mil","2977.5mil","T","90.00","0"
"R167","0603R","2925mil","4825mil","2925mil","4825mil","2897.5mil","4825mil","T","180.00","0"
"R168","0603R","2925mil","4925mil","2925mil","4925mil","2897.5mil","4925mil","T","180.00","0"
"R169","0603R","2925mil","4625mil","2925mil","4625mil","2897.5mil","4625mil","T","180.00","0"
"R2","0603R","2225mil","5500mil","2225mil","5500mil","2225mil","5472.5mil","T","270.00","2K2"
"R30","0603R","2625mil","5800mil","2625mil","5800mil","2625mil","5772.5mil","T","270.00","0"
"R31","0603R","3025mil","5800mil","3025mil","5800mil","3025mil","5827.5mil","T","90.00","4.87K"
"R32","0603R","2100mil","5800mil","2100mil","5800mil","2100mil","5827.5mil","T","90.00","10K"
"R33","0603R","4050mil","4150mil","4050mil","4150mil","4022.5mil","4150mil","T","180.00","680"
"R34","0603R","3900mil","3725mil","3900mil","3725mil","3927.5mil","3725mil","T","360.00","47K"
"R35","0603R","3900mil","3800mil","3900mil","3800mil","3872.5mil","3800mil","T","180.00","0"
"R36","0603R","3900mil","4250mil","3900mil","4250mil","3927.5mil","4250mil","T","360.00","0"
"R37","0603R","3175mil","1450mil","3175mil","1450mil","3147.5mil","1450mil","T","180.00","10K"
"R38","0603R","3900mil","4350mil","3900mil","4350mil","3927.5mil","4350mil","T","360.00","0"
"R39","0603R","4050mil","4050mil","4050mil","4050mil","4022.5mil","4050mil","T","180.00","330"
"R40","0603R","4050mil","3575mil","4050mil","3575mil","4077.5mil","3575mil","T","360.00","10K"
"R41","0603R","2825mil","5175mil","2825mil","5175mil","2825mil","5147.5mil","T","270.00","0"
"R42","0603R","4050mil","3975mil","4050mil","3975mil","4077.5mil","3975mil","T","360.00","22[N/A]"
"R43","0603R","4050mil","3900mil","4050mil","3900mil","4077.5mil","3900mil","T","360.00","22[N/A]"
"R44","0603R","1950mil","5425mil","1950mil","5425mil","1922.5mil","5425mil","T","180.00","0"
"R45","0603R","1525mil","5425mil","1525mil","5425mil","1497.5mil","5425mil","T","180.00","0"
"R46","0603R","1950mil","5875mil","1950mil","5875mil","1922.5mil","5875mil","T","180.00","10K"
"R47","0603R","1525mil","5875mil","1525mil","5875mil","1497.5mil","5875mil","T","180.00","10K"
"R48","0603R","1800mil","5875mil","1800mil","5875mil","1772.5mil","5875mil","T","180.00","0"
"R49","0603R","600mil","3950mil","600mil","3950mil","600mil","3922.5mil","T","270.00","0"
"R50","0603R","1375mil","5875mil","1375mil","5875mil","1347.5mil","5875mil","T","180.00","0"
"R51","0603R","600mil","5300mil","600mil","5300mil","600mil","5272.5mil","T","270.00","0"
"R52","0603R","600mil","4250mil","600mil","4250mil","600mil","4222.5mil","T","270.00","120"
"R53","0603R","600mil","5600mil","600mil","5600mil","600mil","5572.5mil","T","270.00","120"
"R54","0603R","600mil","4100mil","600mil","4100mil","600mil","4072.5mil","T","270.00","[N/A]"
"R55","0603R","600mil","5450mil","600mil","5450mil","600mil","5422.5mil","T","270.00","[N/A]"
"R56","0603R","2925mil","1425mil","2925mil","1425mil","2925mil","1397.5mil","T","270.00","10K"
"R57","0603R","3025mil","1425mil","3025mil","1425mil","3025mil","1397.5mil","T","270.00","100K"
"R58","0603R","2625mil","1425mil","2625mil","1425mil","2625mil","1397.5mil","T","270.00","100K"
"R59","0603R","2075mil","4100mil","2075mil","4100mil","2075mil","4072.5mil","T","270.00","0"
"R60","0603R","1600mil","4575mil","1600mil","4575mil","1627.5mil","4575mil","T","360.00","10K"
"R61","0603R","1600mil","4425mil","1600mil","4425mil","1627.5mil","4425mil","T","360.00","10K"
"R62","0603R","3450mil","3175mil","3450mil","3175mil","3422.5mil","3175mil","T","180.00","[N/A]"
"R63","0603R","2175mil","4100mil","2175mil","4100mil","2175mil","4127.5mil","T","90.00","390"
"R64","0603R","750mil","1225mil","750mil","1225mil","722.5mil","1225mil","T","180.00","10K"
"R65","0603R","750mil","1125mil","750mil","1125mil","722.5mil","1125mil","T","180.00","10K"
"R66","0603R","1375mil","1350mil","1375mil","1350mil","1347.5mil","1350mil","T","180.00","10K"
"R67","0603R","1525mil","1350mil","1525mil","1350mil","1497.5mil","1350mil","T","180.00","10K"
"R68","0603R","1500mil","2950mil","1500mil","2950mil","1500mil","2922.5mil","T","270.00","0"
"R69","0603R","1600mil","2950mil","1600mil","2950mil","1600mil","2977.5mil","T","90.00","0"
"R70","0603R","1700mil","950mil","1700mil","950mil","1700mil","977.5mil","T","90.00","100K"
"R71","0603R","950mil","750mil","950mil","750mil","977.5mil","750mil","T","360.00","4K7"
"R72","0603R","1375mil","1950mil","1375mil","1950mil","1402.5mil","1950mil","T","360.00","51"
"R73","0603R","1375mil","1650mil","1375mil","1650mil","1402.5mil","1650mil","T","360.00","51"
"R74","0603R","1975mil","1600mil","1975mil","1600mil","1947.5mil","1600mil","T","180.00","10K"
"R75","0603R","725mil","2125mil","725mil","2125mil","725mil","2097.5mil","T","270.00","47K"
"R76","0603R","4325mil","1325mil","4325mil","1325mil","4352.5mil","1325mil","T","360.00","5"
"R77","0603R","4125mil","1525mil","4125mil","1525mil","4152.5mil","1525mil","T","360.00","47"
"R78","0603R","3900mil","4450mil","3900mil","4450mil","3927.5mil","4450mil","T","360.00","0"
"R79","0603R","2925mil","4525mil","2925mil","4525mil","2952.5mil","4525mil","T","360.00","0"
"R8","0603R","2775mil","5800mil","2775mil","5800mil","2775mil","5772.5mil","T","270.00","1K5"
"R80","0603R","1825mil","1475mil","1825mil","1475mil","1825mil","1447.5mil","T","270.00","100"
"R81","0603R","1975mil","1525mil","1975mil","1525mil","2002.5mil","1525mil","T","360.00","100K"
"R82","0603R","2625mil","1125mil","2625mil","1125mil","2625mil","1097.5mil","T","270.00","0"
"R87","0603R","3400mil","5675mil","3400mil","5675mil","3372.5mil","5675mil","T","180.00","820"
"R88","0603R","3400mil","5575mil","3400mil","5575mil","3427.5mil","5575mil","T","360.00","820"
"R89","0603R","2900mil","775mil","2900mil","775mil","2900mil","747.5mil","T","270.00","10K"
"R90","0603R","2800mil","775mil","2800mil","775mil","2800mil","802.5mil","T","90.00","10K"
"R91","0603R","3000mil","775mil","3000mil","775mil","3000mil","802.5mil","T","90.00","10K"
"R92","0603R","3100mil","775mil","3100mil","775mil","3100mil","802.5mil","T","90.00","10K"
"R93","0603R","3200mil","775mil","3200mil","775mil","3200mil","802.5mil","T","90.00","10K"
"R94","0603R","2200mil","775mil","2200mil","775mil","2200mil","747.5mil","T","270.00","330"
"R95","0603R","2075mil","775mil","2075mil","775mil","2075mil","747.5mil","T","270.00","680"
"R96","0603R","1950mil","775mil","1950mil","775mil","1950mil","747.5mil","T","270.00","680"
"R97","0603R","1825mil","775mil","1825mil","775mil","1825mil","747.5mil","T","270.00","680"
"R98","0603R","3100mil","1100mil","3100mil","1100mil","3100mil","1072.5mil","T","270.00","0"
"R99","0603R","3000mil","1100mil","3000mil","1100mil","3000mil","1072.5mil","T","270.00","0"
"RV1","ADJRH","4087.5mil","825mil","3950mil","825mil","3950mil","925mil","T","270.00","10K"
"SB1","JP2_SMD","1975mil","4188.189mil","1975mil","4188.189mil","1967mil","4170.189mil","T","90.00",""
"SB2","JP2_SMD","2075mil","4200mil","2075mil","4200mil","2067mil","4182mil","T","90.00",""
"SW1","SIP3","1350mil","4575mil","1250mil","4575mil","1250mil","4575mil","T","360.00","09.03290.01"
"SW2","SIP3","1350mil","4425mil","1250mil","4425mil","1250mil","4425mil","T","360.00","09.03290.01"
"T1","SOT-23-6L","3250mil","4200mil","3250mil","4200mil","3212.598mil","4146.85mil","T","90.00","STT5PF20V"
"T2","SOT-23-6L","2875mil","4200mil","2875mil","4200mil","2837.598mil","4146.85mil","T","90.00","STT5PF20V"
"TP1","TP","2925mil","5650mil","2925mil","5650mil","2925mil","5650mil","T","0.00","25MHz"
"TP13","TP","2450.496mil","4199.504mil","2450.496mil","4199.504mil","2450.496mil","4199.504mil","T","180.00","VREF"
"TP2","TP","205mil","775mil","205mil","775mil","205mil","775mil","T","0.00","AUX2"
"TP3","TP","325mil","775mil","325mil","775mil","325mil","775mil","T","0.00","AUX1"
"TP4","TP","1700.159mil","4674.841mil","1700.159mil","4674.841mil","1700.159mil","4674.841mil","T","180.00","PTP_PPS"
"U1","LQFP48","2725mil","5475mil","2725mil","5475mil","2616.732mil","5307.677mil","T","360.00","DP83848CVV"
"U10","SO28","1250mil","1050mil","1250mil","1050mil","925mil","850mil","T","360.00","ST8024CDR"
"U12","IR_VISHAY3","4300mil","1550mil","4300mil","1550mil","4300mil","1419.094mil","T","90.00","TFDU4300"
"U13","QFN40(6*6)","1725mil","1700mil","1725mil","1700mil","1813.583mil","1812.992mil","T","270.00","CS43L22"
"U15","JOY","3000mil","350mil","3000mil","350mil","2874.725mil","302.674mil","T","315.00","MT008-A"
"U16","LGA14(3*5)","3075mil","1725mil","3075mil","1725mil","3153.74mil","1763.386mil","T","180.00","LIS302DL"
"U17","SO8","2175mil","1200mil","2175mil","1200mil","2100mil","1087.5mil","T","360.00","M24C64-WMN6"
"U18","polyzen","850mil","2617.5mil","850mil","2550mil","850mil","2550mil","T","90.00","ZEN056V130A24LS"
"U19","D2PAK/A","1550mil","2449.409mil","1550mil","2225mil","1650mil","2673.819mil","T","90.00","LD1086D2M33"
"U2","XTAL_5X7","2325mil","5785mil","2225mil","5700mil","2225mil","5700mil","T","90.00","SM7745HEV-50.0M (do not fit)"
"U20","BNX001","800mil","3349.213mil","800mil","3300mil","701.575mil","3398.425mil","T","90.00","BNX002-01"
"U21","SOT-23-5L","2875mil","4025mil","2875mil","4025mil","2837.598mil","3971.85mil","T","90.00","MAX9938FEUK+"
"U22","SOT-23-5L","3250mil","4025mil","3250mil","4025mil","3212.598mil","3971.85mil","T","90.00","74H1G66STR"
"U23","SOT323-5L","3100mil","4025mil","3100mil","4025mil","3074.409mil","3987.598mil","T","360.00","74LX1G04CTR"
"U24","TSSOP16","2200mil","2500mil","2200mil","2500mil","2110.433mil","2374.016mil","T","360.00","M74HC4060TTR"
"U25","KS1708","2375mil","1975mil","2375mil","1975mil","2225.394mil","1975mil","T","360.00","KSS-1508 or KSSG1708"
"U27","SOT-223","1000mil","1550mil","1000mil","1550mil","1093mil","1675mil","T","90.00","LD1117S25TR"
"U3","SOT-23-5L","3900mil","3600mil","3900mil","3600mil","3937.402mil","3653.15mil","T","270.00","STMPS2141STR"
"U4","FlipChip(11)","3900mil","3925mil","3900mil","3925mil","3870.472mil","3905.315mil","T","180.00","EMIF02-USB03F2"
"U5","SO8","1875mil","5650mil","1875mil","5650mil","1800mil","5537.5mil","T","0.00","SN65HVD230"
"U6","SO8","1450mil","5650mil","1450mil","5650mil","1375mil","5537.5mil","T","0.00","SN65HVD230"
"U7","QFN16(3X3)","3175mil","1300mil","3175mil","1300mil","3233.74mil","1270.472mil","T","90.00","STMPE811"
"U8","QFN16(3X3)","2775mil","1300mil","2775mil","1300mil","2833.74mil","1270.472mil","T","90.00","STMPE811"
"X1","XTAL1","3000mil","6000mil","2900mil","6000mil","2900mil","6000mil","T","180.00","25MHz (with socket)"
"X2","SM8","1800mil","3800mil","1800mil","3800mil","1908.268mil","3862.992mil","T","180.00","MC306-G-06Q-32.768 (manufacturer JFVNY)"
"X3","XTAL_socket","2225mil","3800mil","2225mil","3800mil","2325mil","3800mil","T","360.00","25MHz (with socket)"
"Z1","1R1C","1025mil","2650mil","1025mil","2650mil","1025mil","2575.197mil","T","270.00","SMAJ5.0A-TR"
"CN15","AM240*320B","2024.468mil","1556.358mil","550mil","825mil","3398.937mil","2287.716mil","T","0.00","2.4" LCD connector (MB542 with AM240320L8TNQW-00H)"
"U9","TQ100_TOOL","2300mil","4700mil","2300mil","4700mil","2063.78mil","4395.866mil","T","360.00","BARRACUDA_256K"
"U11","SSOP28","3175mil","3600mil","3175mil","3600mil","3008.661mil","3450.394mil","T","90.00","ST3241EBPR"
"CN14","AM240*320AA","2205.968mil","1756.858mil","550mil","825mil","3761.937mil","2688.716mil","T","0.00","3.2" LCD_connector (MB785 with AM-240320D4TOQW-T00H(R))"
"R86","0603R","3225mil","4725mil","3225mil","4725mil","3197.5mil","4725mil","T","180.00","1K"
"C79_1","C310M","975mil","2325mil","975mil","2325mil","1100mil","2325mil","T","0.00","220uF"
"C48","0603C","2000mil","2525mil","2000mil","2525mil","2000mil","2552.5mil","T","90.00","100nF"
"RS1","RES-4B","2500mil","5175mil","2500mil","5175mil","2547.244mil","5208.5mil","T","180.00","33"
"RS2","RES-4B","2350mil","5350mil","2350mil","5350mil","2383.5mil","5302.756mil","T","90.00","33"
"RS3","RES-4B","2675mil","5175mil","2675mil","5175mil","2722.244mil","5208.5mil","T","180.00","33"
"RS4","RES-4B","2350mil","5550mil","2350mil","5550mil","2383.5mil","5502.756mil","T","90.00","33"
"RS5","RES-4B","3175mil","5325mil","3175mil","5325mil","3208.5mil","5277.756mil","T","90.00","50"
"RS6","RES-4B","2900mil","5800mil","2900mil","5800mil","2947.244mil","5833.5mil","T","180.00","2K2"
"R6","0603R","3175mil","5525mil","3175mil","5525mil","3147.5mil","5525mil","T","180.00","2K2"
"R7","0603R","3175mil","5450mil","3175mil","5450mil","3147.5mil","5450mil","T","180.00","2K2"
"JP18","SIP2","3275mil","3850mil","3225mil","3850mil","3225mil","3850mil","T","0.00",""
"JP19","SIP2","3025mil","3850mil","3075mil","3850mil","3075mil","3850mil","T","180.00",""
"TP6","TP","1200mil","6000mil","1200mil","6000mil","1200mil","6000mil","T","0.00","MCO"
"CN5","SAM(C816)","2125mil","725mil","2125mil","725mil","2450mil","1209.252mil","B","270.00","C816"

